(477969.40844580455,3638154.5606570556), (629705.755414925, 4793124.441367252), (477969.40881469194, 3638154.5608910704), 0.502680778503418, 179.99811237056966
(477969.4072556748,3638154.5608945494), (629705.7546778633, 4793124.4413688965), (477969.4072556748, 3638154.5608945494), 0.5536832809448242, 179.99776849806116
(477969.406740139,3638154.5605221577), (629705.753790984, 4793124.441370876), (477969.4072556748, 3638154.5608945494), 0.6056716442108154, 179.99898689734266
(477969.4065640674,3638154.559789882), (629705.7529351702, 4793124.441372786), (477969.4072556748, 3638154.5608945494), 0.6558389663696289, 179.99952132982563
(477969.4066645804,3638154.558757657), (629705.7521033653, 4793124.441374642), (477969.4072556748, 3638154.5608945494), 0.7045989036560059, 180.00004076943753
(477969.40717975446,3638154.5572371236), (629705.7512351911, 4793124.441376579), (477969.4072556748, 3638154.5608945494), 0.755490779876709, 179.9992275681474
(477969.4079688236,3638154.5554524297), (629705.7504195778, 4793124.441378399), (477969.4072556748, 3638154.5608945494), 0.8033015727996826, 179.99927848664186
(477969.40923957364,3638154.553047159), (629705.7495352568, 4793124.441380372), (477969.4072556748, 3638154.5608945494), 0.855139970779419, 179.9995545779495
(477969.4107893006,3638154.5503892363), (629705.7487089913, 4793124.441382216), (477969.4072556748, 3638154.5608945494), 0.9035751819610596, 179.9999157593193
(477969.41273939575,3638154.547181754), (629705.7478100609, 4793124.441384222), (477969.4072556748, 3638154.5608945494), 0.9562699794769287, 180.00025258446502
(477969.4148610595,3638154.5438888622), (629705.7469844259, 4793124.4413860645), (477969.4072556748, 3638154.5608945494), 1.0046682357788086, 180.00071657854818
(477969.4172807566,3638154.5402332875), (629705.7461450356, 4793124.441387937), (477969.4072556748, 3638154.5608945494), 1.05387282371521, 180.00034965993595
(477969.42013801367,3638154.536073069), (629705.7452823889, 4793124.441389862), (477969.4072556748, 3638154.5608945494), 1.104440689086914, 180.00078059928464
(477969.4236329811,3638154.531110402), (629705.7443367707, 4793124.441391973), (477969.4072556748, 3638154.5608945494), 1.15987229347229, 180.000603439877
(477969.42675158184,3638154.526797478), (629705.7435810921, 4793124.441393659), (477969.4072556748, 3638154.5608945494), 1.204169750213623, 180.00116969426654
(477969.430605844,3638154.52158433), (629705.7427231146, 4793124.441395574), (477969.4072556748, 3638154.5608945494), 1.2544639110565186, 180.00149117454265
(477969.4346895322,3638154.5160980145), (629705.741861509, 4793124.4413974965), (477969.4072556748, 3638154.5608945494), 1.3049707412719727, 180.0017601739204
(477969.4390604427,3638154.510272053), (629705.741005923, 4793124.441399406), (477969.4072556748, 3638154.5608945494), 1.3551247119903564, 180.001867052032
(477969.44368410436,3638154.5041510416), (629705.7401611232, 4793124.441401291), (477969.4072556748, 3638154.5608945494), 1.404646396636963, 180.00181431143784
(477969.4488515634,3638154.497409435), (629705.7392919933, 4793124.44140323), (477969.4072556748, 3638154.5608945494), 1.4555943012237549, 180.00224848948073
(477969.4542935259,3638154.4903980177), (629705.7384405802, 4793124.44140513), (477969.4072556748, 3638154.5608945494), 1.5055036544799805, 180.00219533601953
(477969.40881469194,3638154.5608910704), (629705.7375394086, 4793124.44140714), (477969.40881469194, 3638154.5608910704), 1.5583298206329346, -0.0022315019388241407
(477969.4086237735,3638154.560974266), (629705.7376120011, 4793124.441406978), (477969.40881469194, 3638154.5608910704), 1.6051092147827148, -0.0017830278871101973
(477969.40793095017,3638154.5612403587), (629705.7376965145, 4793124.44140679), (477969.40881469194, 3638154.5608910704), 1.6595704555511475, -0.002537207149271452
(477969.40697529295,3638154.56163252), (629705.7377686986, 4793124.441406629), (477969.40881469194, 3638154.5608910704), 1.7060866355895996, -0.0024380811696095104
(477969.40552547626,3638154.5623051836), (629705.7378495942, 4793124.441406448), (477969.40881469194, 3638154.5608910704), 1.7582166194915771, -0.0027712960267109506
(477969.40391534363,3638154.563002074), (629705.7379231447, 4793124.441406284), (477969.40881469194, 3638154.5608910704), 1.8056132793426514, -0.002569338859085523
(477969.4016411801,3638154.5639600065), (629705.7380088986, 4793124.441406094), (477969.40881469194, 3638154.5608910704), 1.8608739376068115, -0.0020395549283070196
(477969.3995623947,3638154.5648842454), (629705.7380806669, 4793124.441405933), (477969.40881469194, 3638154.5608910704), 1.9071221351623535, -0.002088809258703672
(477969.3967718325,3638154.5659902673), (629705.7381606802, 4793124.441405755), (477969.40881469194, 3638154.5608910704), 1.9586834907531738, -0.0016494033863587011
(477969.39388449065,3638154.5671389103), (629705.7382344318, 4793124.44140559), (477969.40881469194, 3638154.5608910704), 2.0062098503112793, -0.0019531918766541112
(477969.39034391555,3638154.568500057), (629705.7383152095, 4793124.441405409), (477969.40881469194, 3638154.5608910704), 2.0582637786865234, -0.0018977544429344762
(477969.3865716206,3638154.569937478), (629705.7383910593, 4793124.4414052395), (477969.40881469194, 3638154.5608910704), 2.107142210006714, -0.0018977544429344762
(477969.3824527172,3638154.5716260667), (629705.7384687742, 4793124.441405066), (477969.40881469194, 3638154.5608910704), 2.1572225093841553, -0.001364249013666593
(477969.37807513017,3638154.5735218306), (629705.7385461684, 4793124.441404894), (477969.40881469194, 3638154.5608910704), 2.2070960998535156, -0.0008861109018368352
(477969.37305775017,3638154.57566362), (629705.7386272172, 4793124.441404713), (477969.40881469194, 3638154.5608910704), 2.259324789047241, -0.0005522651205105412
(477969.368218608,3638154.5777742034), (629705.7387013034, 4793124.441404548), (477969.40881469194, 3638154.5608910704), 2.3070666790008545, -4.367076683469903e-05
