(478179.9750974126,3638135.0244490476), (478180.002458907, 3638135.075321492, 3.6605212245959406, 0.20950865745544434)
(478179.96647076425,3638135.0162762864), (478179.96647076425, 3638135.0162762864, 3.6889692940713275, 0.23412871360778809)
(478179.9571991327,3638135.0011363374), (478179.96647076425, 3638135.0162762864, 3.681157815420844, 0.25012683868408203)
(478179.946137606,3638134.983089752), (478179.96647076425, 3638135.0162762864, 3.690462183927124, 0.2691824436187744)
(478179.93442205153,3638134.964006975), (478179.96647076425, 3638135.0162762864, 3.694147840336854, 0.2893097400665283)
(478179.9230378193,3638134.945612174), (478179.96647076425, 3638135.0162762864, 3.698890187034887, 0.308734655380249)
(478179.9398489926,3638134.962753324), (478179.9398489926, 3638134.962753324, 3.6031498626170584, 0.33220458030700684)
(478179.93496443896,3638134.9530969393), (478179.9398489926, 3638134.962753324, 3.606400461384962, 0.34995603561401367)
(478179.92955986003,3638134.9425716833), (478179.9398489926, 3638134.962753324, 3.6170523904516148, 0.36934804916381836)
(478179.92392835545,3638134.931803641), (478179.9398489926, 3638134.962753324, 3.5903408033718627, 0.38924074172973633)
(478179.91791653,3638134.9147629426), (478179.91791653, 3638134.9147629426, 3.5702673078983445, 0.41208720207214355)
(478179.91251414706,3638134.903234959), (478179.91791653, 3638134.9147629426, 3.569091484958764, 0.43135666847229004)
(478179.9068598547,3638134.8914025803), (478179.91791653, 3638134.9147629426, 3.575147043687608, 0.4512007236480713)
(478179.90148713056,3638134.880260812), (478179.91791653, 3638134.9147629426, 3.574006762252091, 0.46988773345947266)
(478179.8954758421,3638134.867807809), (478179.91791653, 3638134.9147629426, 3.5778276729091245, 0.4907536506652832)
(478179.90066112956,3638134.8667622237), (478179.90066112956, 3638134.8667622237, 3.486689699418057, 0.5124976634979248)
(478179.89734875935,3638134.857463746), (478179.90066112956, 3638134.8667622237, 3.489052870831631, 0.5318524837493896)
(478179.8935254926,3638134.8466586117), (478179.90066112956, 3638134.8667622237, 3.489052870831631, 0.5541894435882568)
(478179.8906566403,3638134.838590302), (478179.90066112956, 3638134.8667622237, 3.4951490041626356, 0.5708348751068115)
(478179.887117695,3638134.8289597076), (478179.90066112956, 3638134.8667622237, 3.5000173687387806, 0.5907759666442871)
(478179.8771696489,3638134.818775288), (478179.8771696489, 3638134.818775288, 3.596836563839139, 0.6136069297790527)
(478179.8726011868,3638134.8096991708), (478179.8771696489, 3638134.818775288, 3.5898013346851863, 0.6328165531158447)
(478179.8674876302,3638134.7997513884), (478179.8771696489, 3638134.818775288, 3.5807713707773403, 0.6539514064788818)
(478179.8629272739,3638134.79085938), (478179.8771696489, 3638134.818775288, 3.585370586776863, 0.6727900505065918)
(478179.8584741336,3638134.782091994), (478179.8771696489, 3638134.818775288, 3.593265362207067, 0.6912679672241211)
