(478185.4625507896,3638117.7677204274), (478185.4410812509, 3638117.769313064, 0.16817426681518555)
(478185.5006195599,3638117.764959968), (478185.4410812509, 3638117.769313064, 0.19176340103149414)
(478185.5268272475,3638117.7631022506), (478185.4410812509, 3638117.769313064, 0.207993745803833)
(478185.4878560154,3638117.771057353), (478185.4878560154, 3638117.771057353, 0.2364954948425293)
(478185.49567494716,3638117.771366931), (478185.4878560154, 3638117.771057353, 0.2501089572906494)
(478185.50619512674,3638117.771827592), (478185.4878560154, 3638117.771057353, 0.26835155487060547)
(478185.5177507842,3638117.7724556345), (478185.4878560154, 3638117.771057353, 0.28864288330078125)
(478185.5289420965,3638117.7731905016), (478185.4878560154, 3638117.771057353, 0.3084871768951416)
(478185.53151681717,3638117.7746561705), (478185.53151681717, 3638117.7746561705, 0.33165550231933594)
(478185.5398215284,3638117.7754455134), (478185.53151681717, 3638117.7746561705, 0.3500025272369385)
(478185.5488815994,3638117.7764554117), (478185.53151681717, 3638117.7746561705, 0.3703327178955078)
(478185.55776707956,3638117.777487935), (478185.53151681717, 3638117.7746561705, 0.390164852142334)
(478185.5672427624,3638117.77869715), (478185.53151681717, 3638117.7746561705, 0.41146016120910645)
(478185.5736226814,3638117.7801060732), (478185.5736226814, 3638117.7801060732, 0.4317135810852051)
(478185.58197151555,3638117.7812653775), (478185.5736226814, 3638117.7801060732, 0.4516913890838623)
(478185.59032612696,3638117.7825593585), (478185.5736226814, 3638117.7801060732, 0.47197842597961426)
(478185.59787835396,3638117.783853449), (478185.5736226814, 3638117.7801060732, 0.4905726909637451)
(478185.60638877685,3638117.7853929508), (478185.5736226814, 3638117.7801060732, 0.5115532875061035)
(478185.6141695204,3638117.785559423), (478185.6141695204, 3638117.785559423, 0.5370488166809082)
(478185.6231915826,3638117.7868301766), (478185.6141695204, 3638117.785559423, 0.560349702835083)
(478185.6282055365,3638117.787554079), (478185.6141695204, 3638117.785559423, 0.573289155960083)
(478185.63552330306,3638117.788677771), (478185.6141695204, 3638117.785559423, 0.5921800136566162)
(478185.6593893472,3638117.789154795), (478185.6593893472, 3638117.789154795, 0.6169004440307617)
(478185.66808338714,3638117.789914737), (478185.6593893472, 3638117.789154795, 0.6323378086090088)
(478185.6808313638,3638117.7911886596), (478185.6593893472, 3638117.789154795, 0.6551895141601562)
(478185.69062629814,3638117.7922722115), (478185.6593893472, 3638117.789154795, 0.6729004383087158)
(478185.70230256347,3638117.7936893813), (478185.6593893472, 3638117.789154795, 0.6941466331481934)
(478185.7061600288,3638117.7890514457), (478185.7061600288, 3638117.7890514457, 0.7153627872467041)
(478185.7159310871,3638117.7890822655), (478185.7061600288, 3638117.7890514457, 0.7358736991882324)
(478185.72465143085,3638117.78914116), (478185.7061600288, 3638117.7890514457, 0.7540926933288574)
(478185.73461467633,3638117.7892482867), (478185.7061600288, 3638117.7890514457, 0.7747724056243896)
(478185.74361543433,3638117.7893944564), (478185.7061600288, 3638117.7890514457, 0.7934145927429199)
(478185.75137577276,3638117.7907991814), (478185.75137577276, 3638117.7907991814, 0.81565260887146)
(478185.7599607407,3638117.791215299), (478185.75137577276, 3638117.7907991814, 0.8346402645111084)
(478185.7695206836,3638117.7917719693), (478185.75137577276, 3638117.7907991814, 0.8556911945343018)
(478185.7781340432,3638117.792324434), (478185.75137577276, 3638117.7907991814, 0.8745803833007812)
(478185.7875473735,3638117.7930207932), (478185.75137577276, 3638117.7907991814, 0.8953495025634766)
(478185.7950324917,3638117.7925503617), (478185.7950324917, 3638117.7925503617, 0.9183247089385986)
(478185.8030966241,3638117.792945564), (478185.7950324917, 3638117.7925503617, 0.9373619556427002)
(478185.8105644468,3638117.7933624485), (478185.7950324917, 3638117.7925503617, 0.954857587814331)
(478185.81986886857,3638117.793925596), (478185.7950324917, 3638117.7925503617, 0.9765017032623291)
(478185.8280233147,3638117.7944490225), (478185.7950324917, 3638117.7925503617, 0.9953536987304688)
(478185.83868921053,3638117.7943015415), (478185.83868921053, 3638117.7943015415, 1.0192081928253174)
(478185.84567886195,3638117.794651038), (478185.83868921053, 3638117.7943015415, 1.0355191230773926)
(478185.8540215242,3638117.795186588), (478185.83868921053, 3638117.7943015415, 1.0552585124969482)
(478185.8623250526,3638117.795846746), (478185.83868921053, 3638117.7943015415, 1.0751960277557373)
(478185.8707224798,3638117.7966431337), (478185.83868921053, 3638117.7943015415, 1.095679521560669)
(478185.88390087173,3638117.7942016376), (478185.88390087173, 3638117.7942016376, 1.1192383766174316)
(478185.8921565238,3638117.794114235), (478185.88390087173, 3638117.7942016376, 1.1378555297851562)
(478185.90419766057,3638117.7970872982), (478185.88390087173, 3638117.7942016376, 1.1569743156433105)
(478185.9153745359,3638117.799496396), (478185.88390087173, 3638117.7942016376, 1.1772985458374023)
(478185.9273130982,3638117.800579919), (478185.88390087173, 3638117.7942016376, 1.196443796157837)
(478185.94097831775,3638117.801325507), (478185.88390087173, 3638117.7942016376, 1.2164125442504883)
(478185.9291125306,3638117.794101734), (478185.9291125306, 3638117.794101734, 1.2407433986663818)
(478185.93639024114,3638117.7943666927), (478185.9291125306, 3638117.794101734, 1.2581865787506104)
(478185.94528791984,3638117.795076737), (478185.9291125306, 3638117.794101734, 1.277055025100708)
(478185.95681843674,3638117.795574981), (478185.9291125306, 3638117.794101734, 1.2973568439483643)
(478185.9758750492,3638117.7903031074), (478185.9758750492, 3638117.7903031074, 1.3185350894927979)
(478185.99001524795,3638117.788821586), (478185.9758750492, 3638117.7903031074, 1.3421597480773926)
